Symbol,Company Name,Sector,Industry,,,
DOCK,COLOMBO DOCKYARD PLC,Producer Manufacturing,Trucks/Construction/Farm Machinery,,,
CFI,COLOMBO FORT INVESTMENTS PLC,Finance,Financial Conglomerates,,,
CIT,COLOMBO INVESTMENT TRUST PLC,Miscellaneous,Investment Trusts/Mutual Funds,,,
CLND,COLOMBO LAND AND DEVELOPMENT COMPANY PLC,Finance,Real Estate Development,,,
COMB,COMMERCIAL BANK OF CEYLON PLC,Finance,Regional Bank,,,
COCR,COMMERCIAL CREDIT AND FINANCE PLC,Finance,Finance/Rental/Leasing,,,
COMD,COMMERCIAL DEVELOPMENT COMPANY PLC,Finance,Real Estate Development,,,
SOY,CONVENIENCE FOODS LANKA PLC,Consumer Non-Durables,Food: Specialty/Candy,,,
COOP,Co-operative Insurance Company PLC,Finance,Multi-Line Insurance,,,
DPL,DANKOTUWA PORCELAIN PLC,Consumer Durables,Home Furnishings,,,
DFCC,DFCC BANK PLC,Finance,Regional Bank,,,
DIAL,DIALOG AXIATA PLC,Communications,Wireless Telecommunications,,,
CALF,DIALOG FINANCE PLC,Finance,Finance/Rental/Leasing,,,
DIMO,DIESEL & MOTOR ENGINEERING PLC,Retail Trade,Specialty Stores,,,
PKME,DIGITAL MOBILITY SOLUTIONS LANKA PLC,Technology Services,Packaged Software,,,
CTEA,DILMAH CEYLON TEA COMPANY PLC,Consumer Non-Durables,Food: Specialty/Candy,,,
DIPD,DIPPED PRODUCTS PLC,Producer Manufacturing,Miscellaneous Manufacturing,,,
DIST,DISTILLERIES COMPANY OF SRI LANKA PLC,Consumer Non-Durables,Beverages: Alcoholic,,,
STAF,DOLPHIN HOTELS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
ECL,E - CHANNELLING PLC,Technology Services,Internet Software/Services,,,
EBCR,E B CREASY & COMPANY PLC,Process Industries,Industrial Specialties,,,
EML,E M L CONSULTANTS PLC,Commercial Services,Miscellaneous Commercial Services,,,
EAST,EAST WEST PROPERTIES PLC,Finance,Real Estate Development,,,
EMER,EASTERN MERCHANTS PLC,Miscellaneous,Miscellaneous,,,
EDEN,EDEN HOTEL LANKA PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
ELPL,ELPITIYA PLANTATIONS PLC,Non-Energy Minerals,Forest Products,,,
ETWO,EQUITY TWO PLC,Finance,Real Estate Development,,,
PACK,Ex-pack Corrugated Cartons PLC,Process Industries,Containers/Packaging,,,
EXT,EXTERMINATORS PLC,Commercial Services,Miscellaneous Commercial Services,,,
CFVF,FIRST CAPITAL HOLDINGS PLC,Miscellaneous,Miscellaneous,,,
FCT,First Capital Treasuries PLC,Finance,Investment Bank/Broker,,,
GHLL,GALADARI HOTELS (LANKA) PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
WAPO,GALLE FACE CAPITAL PARTNERS PLC,Finance,Investment Managers,,,
GEST,GESTETNER OF CEYLON PLC,Distribution Services,Electronics Distributors,,,
MEL,GREENTECH ENERGY PLC,Energy Minerals,Integrated Oil,,,
HAPU,HAPUGASTENNE PLANTATIONS PLC,Process Industries,Agricultural Commodities/Milling,,,
HARI,HARISCHANDRA MILLS PLC,Consumer Non-Durables,Food: Specialty/Candy,,,
HNB,HATTON NATIONAL BANK PLC,Finance,Major Bank,,,
HPL,HATTON PLANTATIONS PLC,Consumer Non-Durables,Food: Major Diversified,,,
HAYC,HAYCARB PLC,Producer Manufacturing,Electrical Products,,,
MGT,HAYLEYS FABRIC PLC,Process Industries,Textiles,,,
HEXP,HAYLEYS FIBRE PLC,Process Industries,Textiles,,,
CONN,HAYLEYS LEISURE PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
HAYL,HAYLEYS PLC,Producer Manufacturing,Industrial Conglomerates,,,
HELA,HELA APPAREL HOLDINGS PLC,Consumer Non-Durables,Apparel/Footwear,,,
HHL,HEMAS HOLDINGS PLC,Health Services,Medical/Nursing Services,,,
CITH,HIKKADUWA BEACH RESORT PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
HASU,HNB ASSURANCE PLC,Finance,Life/Health Insurance,,,
HNBF,HNB FINANCE PLC,Finance,Finance/Rental/Leasing,,,
HOPL,HORANA PLANTATIONS PLC,Process Industries,Agricultural Commodities/Milling,,,
HSIG,HOTEL SIGIRIYA PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
HDFC,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,Finance,Regional Bank,,,
HBS,hSenid Business Solutions PLC,Technology Services,Packaged Software,,,
HUNA,HUNAS HOLDINGS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
HUNT,HUNTER & COMPANY PLC,Finance,Finance/Rental/Leasing,,,
HVA,HVA FOODS PLC,Consumer Non-Durables,Food: Specialty/Candy,,,
ASPH,INDUSTRIAL ASPHALTS (CEYLON) PLC,Non-Energy Minerals,Construction Materials,,,
INME,INSUREME INSURANCE BROKERS LIMITED,Finance,Insurance Brokers/Services,,,
BFN,JANASHAKTHI FINANCE PLC,Finance,Finance/Rental/Leasing,,,
JINS,JANASHAKTHI INSURANCE PLC,Finance,Life/Health Insurance,,,
JAT,JAT HOLDINGS PLC,Finance,Real Estate Development,,,
