broker_name,BARTLEET RELIGARE SECURITIES (PVT) LTD,HNB Stockbrokers (Pvt) Ltd,JOHN KEELLS STOCK BROKERS (PVT) LTD.,ASHA SECURITIES LIMITED.,ALMAS EQUITIES (PVT.) LTD,SOMERVILLE STOCKBROKERS (PVT) LTD.,J B SECURITIES (PVT) LTD.,LANKA SECURITIES (PVT) LTD.,CAPITAL TRUST SECURITIES (PVT) LTD.,CT SMITH SECURITIES (PVT) LTD,FIRST CAPITAL EQUITIES (PVT) LTD.,NDB SECURITIES (PRIVATE) LTD.,ACS CAPITAL (PVT) LTD,
brokerage_fee,1.12%,1.12%,0.14%,1.12%,1.12%,1.12%,1.12%,0.64%,1.12%,1.12%,1.15%,1.12%,1.12%,
min_investment,Any Amount,"100,000","500,000",Any Amount,"Any Amount (500,000 sales Advisors)",Any Amount,"1,000,000","100,000","100,000","50,000","50,000","50,000",Any  Amount,
online_platform,Atrad,Atrad,DirectFN,Atrad,Atrad,Atrad,Own Platform,Atrad,Atrad,Atrad,Atrad,Atrad,Atrad,
research_support,Emails/ Portal,Emails/ Whats app,Emails/ Whats app,Emails/ Whats app,Whats app/ Emails,Based on the requirement,Whats app/Emails,Email/ Whats app/ Advisor,"Email, Whats app",Email/ Whats app,Email/ Whats app/ Website,Email/ Whats app,Email/ Whats app,
